date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx
193706,15.4,0.84,1.17,0.5049610206,0.0036,0.0328,0.0493,0.0285,0.0312661665,0.0003,0,-0.0018,0.0053,0.0029841706,-0.053803,-0.057853
193707,16.98,0.8167,1.1867,0.4646486604,0.0028,0.0325,0.0491,0.0277,0.027224932,0.0003,0.0069444444,0.0138,0.0039,0.0029822171,0.098991,0.098012
193708,16.04,0.7933,1.2033,0.481934502,0.0029,0.0324,0.0492,0.0286,0.0310644128,0.0002,0,-0.0104,-0.0017,0.0021407944,-0.051183,-0.056291
193709,13.76,0.77,1.22,0.5531474413,0.0031,0.0328,0.0516,0.0284,0.0358467256,0.0004,0.0068965517,0.0045,0.0025,0.0158211464,-0.13961,-0.143683
193710,12.36,0.78,1.19,0.6174176776,0.002,0.0327,0.0552,0.0283,0.0409585636,0.0002,0,0.0042,0.0067,0.0317222407,-0.102722,-0.103703
193711,11.11,0.79,1.16,0.6924198251,0.0009,0.0324,0.0582,0.0278,0.0420308074,0.0002,-0.0068493151,0.0096,0.0067,0.0219733915,-0.084289,-0.100254
193712,10.55,0.8,1.13,0.7074886223,0.0011,0.0321,0.0573,0.0273,0.0317754,0,-0.0068965517,0.0082,0.0067,0.0069549625,-0.045828,-0.053019
193801,10.69,0.7933,1.0767,0.7015672438,0.001,0.0317,0.0589,0.0271,0.0388017219,0,-0.0138888889,0.0057,0.0038,0.0097512413,0.012163,0.011096
193802,11.34,0.7867,1.0233,0.6595186671,0.0008,0.032,0.0597,0.0268,0.0322477805,0,-0.0070422535,0.0052,0.001,0.0077724907,0.065757,0.061131
193803,8.5,0.78,0.97,0.8923698838,0.0008,0.0322,0.063,0.0273,0.0338452494,-0.0001,0,-0.0037,-0.0087,0.015067942,-0.254106,-0.257951
193804,9.7,0.7667,0.9033,0.7907934802,0.0009,0.033,0.0647,0.0259,0.0271608523,0.0001,0.0070921986,0.021,0.0138,0.0188927247,0.142667,0.140966
193805,9.27,0.7533,0.8367,0.8195656209,0.0005,0.0322,0.0606,0.0257,0.0299773272,0,-0.0070422535,0.0044,0.001,0.007651434,-0.039973,-0.046036
193806,11.56,0.74,0.77,0.659545862,0.0005,0.0326,0.0625,0.0259,0.0167445455,0,0,0.0004,0.0095,0.0118093088,0.253519,0.249304
193807,12.4,0.7133,0.72,0.6253541076,0.0007,0.0322,0.0563,0.0257,0.0170555147,-0.0001,0,0.0043,0.0066,0.0068298756,0.074738,0.073872
193808,12.06,0.6867,0.67,0.6340202484,0.0006,0.0318,0.0549,0.0259,0.0143082728,0,0,0,-0.0019,0.0059815684,-0.025901,-0.029465
