yyyymm,Y,LDP,LEP,DE,svar,bm,ntis,tbl,lty,ltr,dfy,dfr,infl
192612,0.026047,2.97,2.39,-0.59,0.0004646178,0.4414758270,0.0508761773,0.0307,0.0354,0.0078,-0.0100,0.00,0.0000000000
192701,-0.002910,2.94,2.37,-0.57,0.0004698947,0.4437056454,0.0508237847,0.0323,0.0351,0.0075,-0.0095,0.00,-0.0112994350
192702,0.045522,2.98,2.43,-0.55,0.0002873343,0.4285008644,0.0516676427,0.0329,0.0347,0.0088,-0.0092,0.00,-0.0057142857
192703,0.007324,2.98,2.45,-0.53,0.0009241928,0.4697651174,0.0463565760,0.0320,0.0331,0.0253,-0.0092,0.02,-0.0057471264
192704,0.013021,2.98,2.47,-0.51,0.0006025886,0.4567541302,0.0505140243,0.0339,0.0333,-0.0005,-0.0090,-0.01,0.0000000000
192705,0.062353,3.03,2.53,-0.49,0.0003917338,0.4347826087,0.0552753898,0.0333,0.0327,0.0109,-0.0093,0.01,0.0057803468
192706,-0.020370,3.01,2.53,-0.48,0.0008245770,0.4523852494,0.0588219162,0.0307,0.0334,-0.0069,-0.0097,-0.01,0.0114942529
192707,0.084450,3.06,2.60,-0.46,0.0004257798,0.4145534730,0.0597499253,0.0296,0.0333,0.0050,-0.0095,0.00,-0.0170454545
192708,0.033320,3.10,2.66,-0.44,0.0012764139,0.3962274092,0.0545217717,0.0270,0.0329,0.0076,-0.0092,0.00,-0.0057803468
192709,0.053016,3.13,2.71,-0.42,0.0011233495,0.3805860620,0.0946129771,0.0268,0.0330,0.0018,-0.0088,-0.01,0.0058139535
192710,-0.046804,3.07,2.66,-0.40,0.0015593375,0.4138006933,0.0943667354,0.0308,0.0325,0.0099,-0.0087,0.00,0.0057803468
192711,0.070546,3.12,2.74,-0.38,0.0009296591,0.3793955905,0.0822671859,0.0304,0.0320,0.0097,-0.0086,0.00,-0.0057471264
192712,0.019295,3.13,2.77,-0.37,0.0006042041,0.3746885899,0.0764711093,0.0317,0.0316,0.0072,-0.0086,0.00,0.0000000000
192801,-0.007182,3.12,2.74,-0.38,0.0008605259,0.3786696208,0.0626014543,0.0331,0.0321,-0.0036,-0.0089,-0.01,0.0000000000
192802,-0.012549,3.09,2.70,-0.39,0.0006911239,0.3860765992,0.0551726339,0.0333,0.0318,0.0061,-0.0087,0.00,-0.0115606936
192803,0.105752,3.19,2.79,-0.40,0.0013810077,0.3632548380,0.0543639372,0.0327,0.0317,0.0045,-0.0086,0.00,0.0000000000
192804,0.034725,3.21,2.80,-0.41,0.0014879603,0.3680952606,0.0493720638,0.0362,0.0319,-0.0004,-0.0087,0.00,0.0000000000
192805,0.012325,3.21,2.80,-0.42,0.0018988588,0.3543969792,0.0471873758,0.0390,0.0327,-0.0077,-0.0093,0.00,0.0058479532
192806,-0.034330,3.17,2.74,-0.43,0.0036454766,0.3702999477,0.0502987889,0.0392,0.0326,0.0041,-0.0098,0.01,-0.0058139535
192807,0.010117,3.17,2.73,-0.44,0.0016749799,0.3606481481,0.0593803298,0.0412,0.0344,-0.0217,-0.0097,-0.02,0.0000000000
192808,0.070230,3.23,2.78,-0.45,0.0012293169,0.3240297825,0.0573989063,0.0436,0.0341,0.0076,-0.0097,0.00,0.0000000000
192809,0.022409,3.25,2.79,-0.46,0.0006504642,0.3281658101,0.0279800569,0.0457,0.0346,-0.0041,-0.0098,-0.01,0.0116959064
192810,0.013839,3.25,2.79,-0.47,0.0006788455,0.3089308376,0.0340193716,0.0470,0.0336,0.0158,-0.0097,0.01,-0.0057803468
192811,0.122975,3.36,2.88,-0.48,0.0015232957,0.2655259391,0.0383720096,0.0426,0.0338,0.0003,-0.0097,0.00,0.0000000000
192812,0.006232,3.36,2.87,-0.48,0.0040774700,0.2596666667,0.0630687383,0.0426,0.0340,0.0004,-0.0099,-0.01,-0.0058139535
192901,0.055473,3.40,2.91,-0.49,0.0017008226,0.2453466033,0.0784486564,0.0466,0.0349,-0.0090,-0.0101,-0.01,0.0000000000
192902,-0.004874,3.38,2.89,-0.49,0.0026701165,0.2454238997,0.0717831373,0.0439,0.0363,-0.0157,-0.0100,-0.02,0.0000000000
192903,0.000154,3.37,2.88,-0.49,0.0036114071,0.2723004695,0.0798045664,0.0460,0.0377,-0.0144,-0.0109,-0.01,-0.0058479532
192904,0.019559,3.37,2.88,-0.49,0.0023043615,0.2633969119,0.0993226329,0.0480,0.0358,0.0275,-0.0111,0.03,-0.0058823529
192905,-0.041281,3.32,2.82,-0.49,0.0047598084,0.2827746209,0.1179866681,0.0509,0.0373,-0.0162,-0.0110,-0.02,0.0059171598
192906,0.112294,3.41,2.92,-0.50,0.0013403801,0.2535805819,0.1161973604,0.0480,0.0367,0.0110,-0.0117,0.02,0.0058823529
192907,0.050014,3.45,2.95,-0.50,0.0012818127,0.2418751798,0.1106879396,0.0455,0.0369,0.0000,-0.0118,0.00,0.0116959064
192908,0.094871,3.53,3.03,-0.50,0.0033821020,0.2211237609,0.1152773150,0.0470,0.0375,-0.0034,-0.0125,-0.01,0.0000000000
192909,-0.050941,3.47,2.97,-0.50,0.0033922824,0.2448682487,0.1213901177,0.0458,0.0375,0.0027,-0.0132,0.00,0.0000000000
192910,-0.186150,3.24,2.73,-0.50,0.0535075427,0.3074841870,0.1596118360,0.0437,0.0347,0.0382,-0.0134,0.03,0.0000000000
192911,-0.125359,3.08,2.58,-0.51,0.0364487459,0.3519564763,0.1770397921,0.0347,0.0331,0.0236,-0.0127,0.03,0.0000000000
192912,0.027753,3.10,2.59,-0.51,0.0102146296,0.3384578236,0.1635221721,0.0303,0.0340,-0.0089,-0.0128,-0.03,-0.0057803468
193001,0.059632,3.16,2.68,-0.47,0.0014331608,0.3148162012,0.1533141989,0.0339,0.0347,-0.0057,-0.0126,-0.01,-0.0058139535
193002,0.026041,3.18,2.74,-0.44,0.0017247059,0.3102061894,0.1592556286,0.0336,0.0339,0.0129,-0.0120,0.01,-0.0058479532
193003,0.072348,3.25,2.85,-0.40,0.0015040436,0.3191191891,0.1454961766,0.0295,0.0335,0.0083,-0.0111,-0.01,-0.0058823529
193004,-0.013938,3.24,2.88,-0.36,0.0019338617,0.3269705977,0.1296808921,0.0300,0.0338,-0.0016,-0.0110,-0.01,0.0059171598
193005,-0.011148,3.22,2.90,-0.32,0.0046934394,0.3319155124,0.1249268071,0.0241,0.0329,0.0139,-0.0112,0.01,-0.0058823529
193006,-0.155715,3.04,2.76,-0.28,0.0144478616,0.4033754529,0.1310010449,0.0189,0.0328,0.0051,-0.0121,-0.01,-0.0059171598
193007,0.038713,3.08,2.84,-0.24,0.0049204458,0.3901876149,0.1405508333,0.0183,0.0327,0.0034,-0.0125,0.00,-0.0119047619
193008,0.011266,3.09,2.89,-0.19,0.0040499265,0.3797521005,0.1214949540,0.0153,0.0328,0.0013,-0.0126,-0.01,-0.0060240964
193009,-0.123549,2.95,2.80,-0.14,0.0037384063,0.4455832113,0.1272003762,0.0177,0.0324,0.0074,-0.0123,0.00,0.0060606061
193010,-0.083680,2.85,2.76,-0.10,0.0128766664,0.4979547314,0.1294913580,0.0174,0.0324,0.0035,-0.0152,0.00,-0.0060240964
193011,-0.019736,2.83,2.78,-0.04,0.0071600721,0.5046708308,0.1377528675,0.0140,0.0322,0.0042,-0.0178,0.01,-0.0060606061
193012,-0.071479,2.75,2.76,0.01,0.0081663293,0.5547454126,0.1138858911,0.0148,0.0330,-0.0070,-0.0219,0.00,-0.0182926829
193101,0.059527,2.81,2.84,0.03,0.0052243116,0.5391520019,0.0897221289,0.0124,0.0343,-0.0121,-0.0199,-0.03,-0.0124223602
193102,0.110943,2.93,2.98,0.05,0.0028846263,0.4796679626,0.0825435750,0.0106,0.0338,0.0085,-0.0195,0.00,-0.0125786164
193103,-0.068939,2.88,2.94,0.07,0.0041687518,0.5291250870,0.0739801542,0.0138,0.0332,0.0104,-0.0205,0.00,-0.0063694268
193104,-0.092955,2.79,2.88,0.09,0.0067092657,0.6032144983,0.0777810128,0.0149,0.0327,0.0086,-0.0232,0.00,-0.0064102564
193105,-0.137674,2.66,2.76,0.11,0.0069106954,0.7099486221,0.0713815383,0.0088,0.0317,0.0145,-0.0278,0.00,-0.0129032258
193106,0.146492,2.80,2.93,0.13,0.0233329496,0.6072712745,0.0637585974,0.0055,0.0319,0.0004,-0.0300,0.00,-0.0130718954
193107,-0.075465,2.74,2.89,0.15,0.0070392564,0.6736095723,0.0340073776,0.0041,0.0325,-0.0042,-0.0272,-0.01,0.0000000000
193108,0.007779,2.76,2.94,0.18,0.0045420398,0.6541854960,0.0201582798,0.0042,0.0326,0.0012,-0.0307,0.00,0.0000000000
193109,-0.287461,2.42,2.63,0.21,0.0234589946,0.9440016561,0.0303718875,0.0045,0.0353,-0.0281,-0.0352,-0.03,-0.0066225166
193110,0.076738,2.52,2.75,0.23,0.0425019555,0.8771761085,0.0112711864,0.0170,0.0385,-0.0330,-0.0405,0.00,-0.0066666667
193111,-0.100909,2.43,2.70,0.26,0.0114345440,0.9715564078,0.0033982262,0.0177,0.0385,0.0027,-0.0399,0.02,-0.0134228188
193112,-0.137557,2.29,2.59,0.30,0.0211953493,1.1707317073,-0.0129210013,0.0241,0.0407,-0.0220,-0.0510,0.01,-0.0068027211
193201,-0.018803,2.30,2.59,0.29,0.0173767845,1.1913781842,-0.0115774352,0.0248,0.0390,0.0034,-0.0393,0.01,-0.0205479452
193202,0.053581,2.38,2.67,0.28,0.0267152506,1.1198428291,-0.0157276692,0.0242,0.0367,0.0413,-0.0364,0.07,-0.0139860140
193203,-0.118907,2.29,2.57,0.28,0.0134089221,1.1858624454,-0.0084155117,0.0225,0.0370,-0.0018,-0.0385,-0.04,-0.0070921986
193204,-0.205295,2.10,2.37,0.27,0.0198514127,1.5537278741,-0.0154746792,0.0111,0.0336,0.0604,-0.0529,0.08,-0.0071428571
193205,-0.232123,1.87,2.14,0.27,0.0231837923,1.9423334823,-0.0340508050,0.0031,0.0349,-0.0188,-0.0564,-0.03,-0.0143884892
193206,0.002768,1.90,2.16,0.26,0.0343025832,2.0284780579,-0.0406883713,0.0034,0.0347,0.0065,-0.0559,0.01,-0.0072992701
193207,0.391838,2.27,2.51,0.25,0.0201105785,1.6125440713,-0.0291761361,0.0022,0.0320,0.0481,-0.0553,0.04,0.0000000000
193208,0.401979,2.63,2.87,0.24,0.0400193059,1.1878075451,-0.0150636875,0.0014,0.0321,0.0003,-0.0331,-0.04,-0.0073529412
193209,-0.029526,2.63,2.87,0.23,0.0432985662,1.2143655674,0.0007043780,0.0003,0.0319,0.0057,-0.0291,-0.02,-0.0074074074
193210,-0.142069,2.53,2.75,0.22,0.0356447585,1.4038772213,-0.0028741334,0.0001,0.0322,-0.0017,-0.0323,-0.01,-0.0074626866
193211,-0.052228,2.52,2.73,0.21,0.0233166031,1.5421472937,-0.0033221508,0.0001,0.0322,0.0032,-0.0361,0.00,-0.0075187970
193212,0.061569,2.62,2.82,0.20,0.0102230989,1.4420843014,-0.0050324799,0.0004,0.0315,0.0131,-0.0383,0.00,-0.0075757576
193301,0.013938,2.64,2.82,0.18,0.0059166089,1.4269293924,-0.0064907127,0.0007,0.0308,0.0148,-0.0357,-0.04,-0.0152671756
193302,-0.179558,2.45,2.61,0.17,0.0156669282,1.6909904651,-0.0058178234,0.0001,0.0325,-0.0258,-0.0389,0.03,-0.0155038760
193303,0.038627,2.49,2.64,0.15,0.0374541110,1.4765342960,-0.0218838100,0.0134,0.0321,0.0097,-0.0423,0.01,-0.0078740157
193304,0.414312,2.85,2.99,0.13,0.0291512255,1.1190150479,-0.0063692975,0.0045,0.0325,-0.0032,-0.0434,0.01,0.0000000000
193305,0.174816,3.01,3.13,0.12,0.0119638328,0.9283849733,-0.0030016427,0.0029,0.0308,0.0303,-0.0311,-0.03,0.0000000000
193306,0.137498,3.14,3.25,0.10,0.0198193625,0.8335031588,0.0007609174,0.0007,0.0306,0.0050,-0.0261,-0.01,0.0079365079
193307,-0.084736,3.06,3.15,0.08,0.0328680974,0.9011788036,0.0027134841,0.0019,0.0309,-0.0017,-0.0226,-0.02,0.0314960630
193308,0.123272,3.18,3.25,0.07,0.0118789641,0.7987501221,0.0021472240,0.0001,0.0308,0.0044,-0.0247,0.00,0.0076335878
193309,-0.118045,3.07,3.12,0.05,0.0142499091,0.8679966044,-0.0004584901,0.0004,0.0308,0.0023,-0.0291,0.00,0.0000000000
193310,-0.090623,2.99,3.03,0.03,0.0276757704,0.9278584392,0.0034629660,0.0009,0.0315,-0.0091,-0.0315,-0.01,0.0000000000
193311,0.108553,3.10,3.12,0.02,0.0095815761,0.8335031588,0.0059234774,0.0022,0.0327,-0.0149,-0.0344,0.01,0.0000000000
193312,0.026694,3.13,3.13,0.00,0.0055905699,0.8290260464,0.0061958281,0.0029,0.0336,-0.0113,-0.0325,-0.04,0.0000000000
193401,0.115033,3.23,3.22,-0.01,0.0066389099,0.7629173662,0.0035583231,0.0072,0.0321,0.0257,-0.0266,0.00,0.0000000000
193402,-0.032840,3.19,3.18,-0.01,0.0055672847,0.7906437270,0.0055949443,0.0062,0.0317,0.0081,-0.0207,-0.01,0.0075757576
193403,0.005355,3.19,3.17,-0.02,0.0063725246,0.8025122121,0.0096063281,0.0024,0.0307,0.0197,-0.0213,0.00,0.0000000000
193404,-0.025490,3.16,3.13,-0.03,0.0018991874,0.8010747338,0.0078287967,0.0015,0.0300,0.0126,-0.0194,0.00,0.0000000000
193405,-0.078497,3.07,3.04,-0.04,0.0073632004,0.8563829787,0.0076523036,0.0016,0.0292,0.0131,-0.0204,0.00,0.0000000000
193406,0.024080,3.09,3.05,-0.04,0.0068946450,0.8407310705,0.0059827800,0.0015,0.0289,0.0067,-0.0213,-0.01,0.0075187970
193407,-0.119846,2.97,2.92,-0.05,0.0115313309,0.9142532652,0.0029078413,0.0015,0.0288,0.0040,-0.0224,0.00,0.0000000000
193408,0.058650,3.02,2.96,-0.06,0.0065014472,0.8668964032,0.0199569035,0.0019,0.0299,-0.0118,-0.0256,-0.02,0.0000000000
193409,-0.000216,3.01,2.95,-0.06,0.0048308186,0.8703643637,0.0194390172,0.0021,0.0310,-0.0146,-0.0261,-0.01,0.0149253731
193410,-0.032663,2.98,2.91,-0.07,0.0043581610,0.8622536418,0.0238972714,0.0027,0.0300,0.0182,-0.0250,0.01,-0.0073529412
193411,0.086059,3.06,2.98,-0.08,0.0020253052,0.7820089372,0.0207110385,0.0025,0.0299,0.0037,-0.0251,-0.01,0.0000000000
193412,-0.000681,3.05,2.96,-0.09,0.0026089456,0.7737408689,0.0208127157,0.0023,0.0293,0.0112,-0.0242,0.00,-0.0074074074
193501,-0.042368,3.01,2.77,-0.24,0.0022136038,0.7916215950,0.0209974293,0.0020,0.0281,0.0182,-0.0221,0.00,0.0149253731
193502,-0.036840,2.97,2.60,-0.37,0.0032799819,0.7862863841,0.0147086415,0.0019,0.0275,0.0092,-0.0226,0.00,0.0073529412
193503,-0.031454,2.94,2.45,-0.48,0.0039728617,0.8007541179,0.0120459559,0.0015,0.0274,0.0041,-0.0253,0.00,0.0000000000
193504,0.096493,3.03,2.51,-0.53,0.0031621685,0.7373229785,0.0190936879,0.0015,0.0269,0.0079,-0.0247,0.00,0.0072992701
193505,0.038135,3.07,2.50,-0.57,0.0028776617,0.7293926247,0.0192980407,0.0015,0.0276,-0.0057,-0.0229,-0.01,0.0000000000
193506,0.070533,3.15,2.54,-0.61,0.0028104575,0.6818181818,0.0193439766,0.0015,0.0270,0.0092,-0.0216,0.00,-0.0072463768
193507,0.083814,3.23,2.64,-0.59,0.0016800484,0.6393091975,0.0174097747,0.0015,0.0268,0.0046,-0.0211,-0.01,0.0000000000
193508,0.026569,3.25,2.68,-0.57,0.0037749859,0.6336866902,0.0049816151,0.0016,0.0281,-0.0133,-0.0198,-0.01,0.0000000000
193509,0.025526,3.27,2.72,-0.55,0.0024288238,0.6117343845,0.0080266211,0.0020,0.0282,0.0009,-0.0194,0.00,0.0000000000
193510,0.071803,3.32,2.80,-0.52,0.0032591933,0.5775010734,0.0029507271,0.0020,0.0279,0.0061,-0.0202,0.00,0.0000000000
193511,0.051943,3.34,2.84,-0.50,0.0031496826,0.5669523676,0.0022194292,0.0016,0.0280,0.0010,-0.0196,-0.01,0.0072992701
193512,0.039887,3.35,2.87,-0.48,0.0028973664,0.5599111913,0.0086888346,0.0015,0.0276,0.0070,-0.0186,0.00,0.0000000000
193601,0.071832,3.39,2.92,-0.47,0.0018671591,0.5398354405,0.0089077281,0.0020,0.0285,0.0055,-0.0163,0.00,0.0000000000
193602,0.022461,3.39,2.93,-0.46,0.0022225935,0.5290762473,0.0137604535,0.0020,0.0281,0.0081,-0.0148,0.00,0.0000000000
193603,0.024029,3.40,2.94,-0.46,0.0050044798,0.5276960471,0.0134560371,0.0020,0.0275,0.0106,-0.0157,0.00,-0.0072463768
193604,-0.077588,3.28,2.82,-0.46,0.0057607721,0.5663485961,0.0192528710,0.0020,0.0274,0.0035,-0.0162,0.00,0.0000000000
193605,0.053106,3.30,2.83,-0.47,0.0029079379,0.5404874214,0.0186275943,0.0020,0.0273,0.0040,-0.0167,0.00,0.0000000000
193606,0.032542,3.30,2.83,-0.47,0.0015684951,0.5231783880,0.0208134501,0.0020,0.0273,0.0021,-0.0166,-0.01,0.0072992701
193607,0.073442,3.33,2.87,-0.46,0.0015685530,0.5004246027,0.0217469882,0.0015,0.0271,0.0060,-0.0161,0.00,0.0072463768
193608,0.014124,3.30,2.86,-0.44,0.0026195074,0.4961212340,0.0196660344,0.0020,0.0264,0.0111,-0.0153,0.00,0.0071942446
193609,0.004817,3.27,2.84,-0.43,0.0011837587,0.4915981409,0.0213984830,0.0016,0.0268,-0.0031,-0.0144,-0.01,0.0000000000
193610,0.076281,3.28,2.88,-0.40,0.0022244051,0.4657070279,0.0218042270,0.0013,0.0269,0.0006,-0.0136,0.00,0.0000000000
193611,0.010666,3.23,2.86,-0.37,0.0028304004,0.4502783539,0.0228407620,0.0011,0.0257,0.0205,-0.0137,0.01,0.0000000000
193612,-0.003830,3.17,2.82,-0.35,0.0014983745,0.4585881045,0.0252247216,0.0012,0.0255,0.0038,-0.0143,0.00,0.0000000000
193701,0.036648,3.20,2.83,-0.36,0.0015725492,0.4465735628,0.0250032496,0.0017,0.0258,-0.0013,-0.0139,0.00,0.0071428571
193702,0.018483,3.20,2.82,-0.38,0.0013067889,0.4407757653,0.0252076774,0.0015,0.0253,0.0086,-0.0131,0.01,0.0000000000
193703,-0.003511,3.17,2.78,-0.39,0.0031144795,0.4586663806,0.0335068293,0.0038,0.0285,-0.0411,-0.0136,-0.03,0.0070921986
193704,-0.080646,3.05,2.68,-0.37,0.0054667794,0.4906180065,0.0281072644,0.0056,0.0284,0.0039,-0.0142,0.00,0.0070422535
193705,-0.005699,3.00,2.65,-0.35,0.0035930723,0.4893824051,0.0282780631,0.0041,0.0282,0.0053,-0.0151,0.00,0.0069930070
193706,-0.053803,2.91,2.58,-0.33,0.0029841706,0.5049610206,0.0312661665,0.0036,0.0285,-0.0018,-0.0165,-0.01,0.0000000000
193707,0.098991,3.03,2.66,-0.37,0.0029822171,0.4646486604,0.0272249320,0.0028,0.0277,0.0138,-0.0166,0.01,0.0069444444
193708,-0.051183,3.01,2.59,-0.42,0.0021407944,0.4819345020,0.0310644128,0.0029,0.0286,-0.0104,-0.0168,-0.01,0.0000000000
193709,-0.139610,2.88,2.42,-0.46,0.0158211464,0.5531474413,0.0358467256,0.0031,0.0284,0.0045,-0.0188,0.00,0.0068965517
193710,-0.102722,2.76,2.34,-0.42,0.0317222407,0.6174176776,0.0409585636,0.0020,0.0283,0.0042,-0.0225,0.00,0.0000000000
193711,-0.084289,2.64,2.26,-0.38,0.0219733915,0.6924198251,0.0420308074,0.0009,0.0278,0.0096,-0.0258,0.00,-0.0068493151
